,Message,Racism,Sexism
690,this is kiddie stuff compared to what muslims do every day . http://t.co/748sxvjf2u,1,0
693,"after watching the shia militia beat a peshmerga to death , i have concluded that they are animals , just like isis . #islam #iraq #kobane",1,0
706,exactly . merkel is defending this . and the protesters are called islamophobes for being against it . http://t.co/08zwrcto88,1,0
735,"peace ? you idiot , islam declared war on all humanity 1400 years ago . how can you blab on about peace . time to exterminate islam .",1,0
738,"already did . found out that islam is a vile , bigoted , hateful , murdering , sexist , slavery supporting cult .",1,0
746,nobody cares about your stupid rationalizations . we are simple going to kill all the daesh . hope you are one of em,1,0
748,why do these so called moderate muslims never ask themselves why islam has over 100 terrorist groups and no other religion is remotely close,1,0
764,islam declared war on all humanity 1400 years ago . and nothing has changed .,1,0
765,"i do not have a "" book "" . i have several hundred books . here is a couple that expose the vileness of islam . http://t.co/dnkmh61rl9",1,0
767,mohammed led 17 major military expeditions that killed tens of thousands . jesus led none .,1,0
768,"rt : many of the isis members are walking "" stoners "" ~ even #daesh #emwazi #jihadijohn it is been rumored he is high on #khat http …",1,0
771,"yeah , being anti zionist is pretending to have an excuse for being anti semitic .",1,0
773,no they do not they share a commitment to the barbarity of their religion . http://t.co/kpjse079al,1,0
785,"why do isis , the saudis and the taliban imprison women in their homes ? because the quran tells them to . #islam #iraq http://t.co/dm64qjbkmj",1,0
786,for the last 1000 years islam has contributed nothing to mankind but murder . http://t.co/h8a8jkfudo,1,0
798,why should you be annoyed at being denied rights that you do not give to others . you are a hypocrite .,1,0
804,"fighting along side anyone in the me makes you someone else is enemy , regardless of the motivation . their problem , not ours .",1,0
807,wrong . they were connected to the muslim brotherhood and they were anti semitic bigots .,1,0
817,what do customs and rules and history have to do with it . marrying a 6 year old and screwing a 9 year old is sick like islam .,1,0
828,of course the old leach mohammed gave himself permission to screw pretty much whatever he liked . http://t.co/ctthez7xus,1,0
830,"if you like it or not , islam declared war on all humanity in the quran 1400 years ago .",1,0
831,do not be an idiot . there are more than 100 muslim terrorist organizations . no other religion has anything close .,1,0
834,"no , the money comes from muslims around the world who want a caliphate and the domination of islam by force .",1,0
840,every border that islam has with every other religion and non religion is bloody .,1,0
845,you have no say on what freedom of expression extends to . everyone should be insulting the phony pedophile prophet .,1,0
848,thanks for admitting that you are murderers . and check your map . http://t.co/theary220e,1,0
853,roflmao . where is the picture daeshbag ?,1,0
854,leave it to some microbrain to get sanctimonious by finding a way to play the race card .,1,0
856,"no , microbrain , i'm okay with israel doing what they have to do to stop the same extermination the muslims have done for 1400 yrs .",1,0
866,"look at the data dipwad , 2/3 want sharia law , which denies all rights to women and non muslims . http://t.co/7qupimban7",1,0
869,"given that islam declared war on all humanity 1400 years ago , why should we not burn down all mosques ?",1,0
874,"and of course the palestinians are firing rockets at israel without any regard for what they hit , including women and children .",1,0
899,there are 1.5 billion muslims idiot . for the size of their population they contribute virtually nothing .,1,0
901,kiss my ass . i do not read books by muslim bigots written to promote their fascist murdering genocide of humanity .,1,0
908,"mostly old testament , were its heroes attacked and slaughter every man , woman , child , animal",1,0
910,europe needs to expel their muslim immigrants .,1,0
922,"since muslims do not speak out against their terrorists , why should we ? http://t.co/95y5hlyp1c",1,0
936,they will all have no skills except jihad .,1,0
941,wheras the arabs really are behaving people and you scum are ignoring it .,1,0
951,"again , you miss the point that god is not interested in military rule , phony frauds like mohammed who benefit from it are #islam",1,0
962,"but it is a lie . the religion is a disgusting , terrorist , hate mongering piece of filth . that has nothing to do with individuals .",1,0
964,what matters is that people like you are trying to lay a guilt trip on us while ignoring the truth .,1,0
967,max is palestinian muslim friends throw an atheist blogger into prison for 10 months for his religious views .,1,0
971,"rt : there angry over cartoons but not beheadings , people being burnt alive , or …",1,0
983,"rt : at least now muslims have been exposed-they protest against free speech but do not for 7/7 , lee rigby , isis or rotherham …",1,0
988,that is when a 53 year old man marries a 6 year old girl and screws her when she is 9 like mohammed .,1,0
995,"i am better . i have no problem with hinduism , christianity , tao , judaism , buddhism or atheism . but islam hates all non-muslims .",1,0
1013,i do not care if they are shia islamolunatics or sunni islamolunatics . the are all filth to me .,1,0
1014,rt : http://t.co/m8n6emk2u2 8 - year-old yemeni child dies at hands of 40 - year-old husband on wedding night . this is sharia h …,1,0
1019,i just told you that women owned property before islam . had nothing to do with islam . islam is sexist to the very core .,1,0
1021,"mohammed was a murderer , jesus was not . mohammed was a rapist , jesus was not .",1,0
1026,the logic of a retarded madrassa rat .,1,0
1030,mohammed is first wife katjia was a wealthy woman before islam . so you are lying .,1,0
1031,"mohammed always lied , saying he had to attack because others planned to attack him .",1,0
1037,the prophet mohammed was a big murderer . he once beheaded 600 jews in one day . isis does what he did .,1,0
1041,"your friends are the palestinians who cut off gays heads , do honor killings , force sharia .",1,0
1065,by choosing to be muslims they have chosen to be haters of non muslims . http://t.co/mta5tuxtw6,1,0
1070,come back for a chat when you get a brain .,1,0
1072,if a raped woman does not have four witnesses she will be punished further under islam .,1,0
1073,"rt : "" muslim americans feel they have been targeted ” - obama no mention of jews , victims 60 % of the time ( h / t ) http : …",1,0
1079,rt : austrians say islam does not belong in their nation : poll http://t.co/pa7ytfbqhb …,1,0
1082,who knows if they criticized him ? he killed them . and the things against him would never make it into the sunnah .,1,0
1085,they are occupied because arab muslims want jews exterminated . https://t.co/8cmfoozwxz,1,0
1093,"our politicians make inane speeches about freedom of speech while studiously avoiding the real source of the problem , the violence in #islam",1,0
1098,"rt : it is a calculated arab policy , to keep the palestinians in a state of desperation to incite more …",1,0
1103,now the muslim arabs are using the palestinans as their spear point to complete the extermination .,1,0
1128,the later verses abrogated the earlier verses and what remains is violent and imperialist .,1,0
1129,really ? do not you know anything about your evil religion ? http://t.co/c0ode7cc76,1,0
1138,"most people who become muslims are either forced or pressured into it , and the children have no choice .",1,0
1140,"what do you care , scumbag ? you murder and enslave unarmed ezidi and christian civilians .",1,0
1153,"no , the muslims worldwide are the problem . israel is protecting itself against the same muslim persecution that is global .",1,0
1170,it is unbelievable the way that journalists fall all over themselves to make excuses for the barbarity of islam . not one has read the quran .,1,0
1181,funny how defenders of islam like to bring up the crusades . but the muslim crusaders were attacking christianity first .,1,0
1183,all of you islamists repeat the same brain dead lines that someone else told you to say . i have seen that one a thousand times .,1,0
1202,and the christian world got rid of slavery by itself.the muslim world was pressured into getting rid of it and now returns to it,1,0
1203,"no , that was just your pedophile prophet making excuses to slaughter them and steal their land and property .",1,0
1209,what is to understand . the daesh have passed a law that people cannot leave raqqa or mosul because they are sewers of terror .,1,0
1219,arabs and muslims against the jews . https://t.co/8cmfoozwxz,1,0
1225,pieces of shit like you are doing everything in your power to exterminate white people .,1,0
1227,"self genociadal , self serving liars .",1,0
1234,"lol . the me was very creative before islam . most "" muslim "" discoveries came from conquered persians .",1,0
1238,if the islamofascist lunatics stopped attacking israel there would be peace .,1,0
1249,isis wants to control the world because mohammed wanted to control it .,1,0
1252,if you walked down saudi street dressed like in yr picture would be arrested .,1,0
1258,"hopefully the followers of the slave trader , and pedophile prophet , mohammed .",1,0
1261,"islam declared war on all mankind 1400 years ago , now muslims cry like babies when others respond in kind .",1,0
1265,"yeah , i read that . and every verse of the tao te ching is superior to every verse of the quran . so quran is fraud .",1,0
1273,because islam has over 100 operating terrorist groups and a mandate to conquer the world by violence .,1,0
1280,rt : http://t.co/agx6dizuih england and wales child rape cases up 37 % in five years we all know why,1,0
1286,i'm not concerned with single events . i'm concerned with 1400 years of islamic murder and barbarity that shows no sign of ending .,1,0
1295,i do not trust isis or the shia militia . both want to force their sick religion on people . #tikrit,1,0
1299,1400 years ago the pedophile prophet declared war on all humanity . so all humanity should hate islam .,1,0
1304,""" mainstream "" muslims are also radicals . http://t.co/x5gsyw8pgb",1,0
1308,rt : giuliani watched his city attacked & people jump to their deaths . he is entitled to say wtf he wants about the guy shield …,1,0
1332,rt : rt @unpoliticalprty : the true history of #islam and slavery must see http://t.co/ufjt3iazzw #pjnet,1,0
1356,"scum bag islamists evacuated all the christian and ezidi civilians from their homes in mosul , raqqa , sinjar .",1,0
1361,"you have to be an idiot to think that you can follow an ideology of murder , imperialism , hatred and have people like you for it",1,0
1368,"wrong again , it is the muslims murdering the hindus in india , kashmir , bangladesh , and pakistan .",1,0
1371,that is like saying that my freedom is limited if i'm not allowed to kill you .,1,0
1379,rt : obama and his love for golf is greater that love for christians or jews ! http://t.co/lludcu5jsp,1,0
1387,i pray that the lying criminal bitch goes to prison .,1,0
1396,daesh price list for yezidi and christian sex slaves . http://t.co/h4elrfxhsm,1,0
1402,"when people leave islam , they do not announce it . they just quietly walk away .",1,0
1405,nothing has any value for arabs except the destruction of the jews . and the arabs must pay palestine to destroy em,1,0
1417,"isis is a giant embarrassment to muslims , not just because of the barbaric things they do . but because ...",1,0
1418,"the muslim mobs of bangladesh attack hindus , destroying thousands of homes and temples . http://t.co/inlik2tlcp",1,0
1424,"rt : authorities will use anti semitic attacks on twitter by muslims and the left to introduce laws against hate speech , re …",1,0
1425,and you are supporting the little head choppers and honor killers in palestine .,1,0
1430,like the ottoman empire was a pure slave state .,1,0
1445,"rt : this is well-written & worth reading on daily life in mosul today "" caliphatalism ? "" http://t.co/ibnjkumhwk via",1,0
1452,do you think the yokels at salon know that mohammed was a slave trader who owned 28 slaves ? not a chance . #islam,1,0
1454,maybe you should teach that respect to the muslim hate mobs who murder christians and hindus for pretended blaspemy .,1,0
1470,just because i have no religion does't mean that i do not want to stop islam from murdering . http://t.co/9kte08yrfk,1,0
1478,really ? what are they doing that your prophet did not also do ? http://t.co/fasawdislh,1,0
1479,ask the muslims . they are the ones killing all the jews .,1,0
1505,and the muslim students hadith database shows ashia was 6 when the pedo mohammed married her .,1,0
1509,rt : my point is that mohammeds example us used by some muslim men to justify their paedophilia . http://t.co/rwy…,1,0
1537,fuck these people that want to steal our freedom of speech for the sake of a fascist religious ideology .,1,0
1538,"yes , only islam can generate that level of barbarity , hatred , and inhumanity . https://t.co/frohluet12",1,0
1555,countryside will be easy to take . mosul and raqqa will be difficult because the daesh will hid behind civilians,1,0
1567,"the woman wearing the bikini can wear it or she can cover everything , her choice . if she makes that choice in islam she is beaten",1,0
1578,who cares who defined it . the muslims lived off the production of the jews and left them impoverished .,1,0
1583,this is political opinion . the truth is that islam is itself radical and we must outlaw it .,1,0
1589,up your ass terrorist bitch .,1,0
1593,"and celebratory shouts of "" fuck allah "" could be heard all over the us . now daesh pussies will fight real soldiers .",1,0
1600,"rt : sir winston churchhill : "" islam is a dangerous in a man as rabies in a dog "" http://t.co/kcxgkd70sk",1,0
1637,hamaz never stopped it is war on israel . islam never stopped it is war on humanity .,1,0
1649,"no asshole , i single out muslims because their barbarity is set in stone in the quran and they have not and cannot evolve .",1,0
1659,balance what ? the hate cult of islam has zero place in american schools .,1,0
1661,rt : please draw mohammed ! just a smiley face will do but draw it and post it . #iamcharliehebdo http://t.co/qiovzynxdj,1,0
1666,where the muslims followed the example of mohammed and continued to murder them .,1,0
1678,why is isis obsessed with beheadings ? because their terrorist prophet mohammed had 600 men beheaded in one day . #islam http://t.co/zkqzuyyhjs,1,0
1686,"mohammed raped slave girls , the quran approves of the rape of slave girls - so isis rapes , slave girls .",1,0
1690,all you are doing with your verses is proving sexism in islam .,1,0
1693,dodge rambles on making assertion after assertion with zero evidence and no references in quran or hadith . it is garbage,1,0
1698,"how long before some idiot politician tells us that this is not about islam , but about some islamic extremist ? #copenhagen",1,0
1702,the me led the world in development before there was islam and fell behind the world after islam .,1,0
1706,"poor daesh . now they ca not rape her , torture her , or make an execution video of her .",1,0
1725,objecting to this is what the pc morons of salon call racism . http://t.co/zju8nqchif,1,0
1739,the prophet mohammed declared war on all non muslims 1400 years ago exactly to impose such .,1,0
1745,true . stoning and beheading were much more to mohammed is taste .,1,0
1751,rt : norway sees huge drop crime as large number muslim illegals deported http://t.co/6vbvvpwn1q …,1,0
1754,a . their bodies are far from finishing growth . b . their minds are far from finishing growth .,1,0
1799,i hear all kinds of people say that jews control the agenda and the media .,1,0
1811,the saudis will arm sunni rebels in yemen . civil war is inevitable .,1,0
1812,b . the only reason there are non muslims on the earth is because the non muslim armies defeated the muslims .,1,0
1815,rt : palestinians accepted the 2state solution.one for hamas and one for isis . http://t.co/kpvbxc6mjx,1,0
1819,muslims do not produce thomas jeffersons or mahatma ghandis . and they do not produce freedom or democracy .,1,0
1822,the problem with islam is that it cannot be fixed and still be islam .,1,0
1824,but it really does not matter who the mujahedeen animals are fighting . they have been murdering someone for 1400 years .,1,0
1831,there are zero lies that westerners create . it all comes from your own quran and hadiths .,1,0
1836,so asshole muslims reserve the right to act like animals and scream like women when other do it .,1,0
1839,and the muslims robbed the wealthy merchants .,1,0
1840,good night asshole . hope you get run over by a bus .,1,0
1841,i know that they have the same policy of breeding like rats and population imperialism as their prophet mohammed .,1,0
1844,i made isis rise ? what are you talking about . islam created that monster . http://t.co/q87ijkbd7q,1,0
1854,outlaw islam !,1,0
1860,"rt : exactly what has islam ever done other than subjugate women , kill and torture ? !",1,0
1876,"yeah , unlike the muslims who are executing gays by throwing them off buildings .",1,0
1878,rt : obama implies murder of 3 muslims in nc is religious bigotry but terrorists slaughtering jews in a paris kosher deli is a …,1,0
1882,notice 2/3 muslims want sharia and sharia says that apostates must be killed . but only 1/3 support that directly . http://t.co/2gs6nntrvj,1,0
1887,rt : please sign this petition + retweet http://t.co/awqooqvlp0 #banislam @ …,1,0
1890,you do not need a perverted religion to feel compassion for humanity . http://t.co/t9knt5tqmp,1,0
1892,"as expected , when the terrorist group hamas won the election in gaza it was the usual one man , one vote , one time , islamist election . #islam",1,0
1893,"unfortunately , real islam , as defined in the quran and hadith , is too backwards and inhuman even for most me muslims .",1,0
1898,"later he attacked the jews of khybar , killed many , stole their property .",1,0
1899,good tweet . but they actually start selling their daughters at 9 .,1,0
1901,earthly tyrants are also egotistical and want everyone to admire them and bow down to them . so the quran writer imagined god .,1,0
1924,"no , i will put you there , because being nothing contributes more to mankind than muslims .",1,0
1936,lol . it is common knowledge and there are countless reports about muslim no go areas in europe . just google it .,1,0
1937,"war , chopping off heads , raping slave girls , were mohammed is favorite activities .",1,0
1956,saudi sewer qurans . what a perfect idea . and what a perfect place for a quran . #saudi #islam #isis #pakistan http://t.co/1vgi0knsuf,1,0
1962,imagine a muslim journalist making a case for why isis is not islamic . no self interest there . lol .,1,0
1964,the reason that there are still muslims and not jews and christians is due to muslim brutality .,1,0
1971,"i know the truth . it is 280 million citizens of the earth murdered by scum shouting "" allahu akbar "" .",1,0
1984,rt : you say islam is a religion . i say it is a cult . islam is activities match the description of crime mafia . you must bust it . …,1,0
2008,"the only reason the overall numbers increase is because muslims breed like rats , just like their prophet told them to do . #islam",1,0
2022,"islam , on the other hand fights to take away people is freedom and force them to obey an imaginary terrorist god .",1,0
2024,saudis regard isis as a threat . it is who is defeating them that they have a problem with .,1,0
2029,"if you search objectively , you will find that the pedophile prophet mohammed declared war on all humanity 1400 years ago .",1,0
2030,most likely killed by muslims ; and i'm happy to see the israelis get back a small fraction of the land the muslims stole .,1,0
2035,"no , shithead , they were killed or forced to convert . mohammed started the ball rolling by beheading 600 jewish prisoners .",1,0
2044,"yes , they tried to murder their way to heaven . a total idiot would believe in such an allah .",1,0
2059,filthy islam created them and is funding them .,1,0
2063,"furthermore , islam demands that women be locked in their homes and covered . stop lying . http://t.co/ivd1vihpfa",1,0
2065,forget about your anti jewish bigotry . how do you explain hamas beheading gays and honor killing women,1,0
2069,"not gunmen , muslim terrorists .",1,0
2078,"not to mention crushing poverty , endless violence , and legal forced marriage of 8 year old girls .",1,0
2085,that is an excuse and a cop out . every single islamic nation is repressive . they produce either dictators or theocrats .,1,0
2090,do you think that he is jewish any other way than by birth ?,1,0
2092,the phony allah worshiping madrassa rats will die at the hands of controllers a thousand miles away .,1,0
2098,what your prophet said was that women are stupid and corrupt . #islam http://t.co/gmishq8qag,1,0
2100,then why do you smelly rag heads keep moving to britian ?,1,0
2144,sharia put the muslim world 1000 years behind the rest of civilization and tortured minorities .,1,0
2168,accepting the idea that allah obsesses over how we take a dump shows just how utterly insane this inbred religion is .,1,0
2169,"the peaceful q verses are pre medina , mecca verses when mohammed had little power and was endangered .",1,0
2180,the muslims attacked and murdered the zoastrians in persia and the buddhists in afghanistan .,1,0
2181,rt : proper grammer : islam phobia is not a medical condition it is truth .,1,0
2191,good morning . here is the history of islamic slavery . https://t.co/xwjzpsodgj,1,0
2197,the point is about what the society supports and what it does not support . barbarity is not an aberration in muslim society .,1,0
2215,daesh really go to extremes to stage their propaganda material .,1,0
2217,erdogan is a fascist islamist scum bag . women is employment has decreased 30 % under him . violence against women has increased .,1,0
2218,#islam is about forcing people to be muslims . even your perverted imams know it . http://t.co/e8m3w6odvq,1,0
2226,those same genocidal muslims that practice their bigotry and barbarity against religious and ethnic minorities everywhere .,1,0
2237,buddha said that slavery was unacceptable 1100 years before the slave trader mohammed came along .,1,0
2238,"rt : in the uk like idiots we give jihadis rehabilitation , jordan execute them . we are a joke http://t.co/wlkedrkvnz",1,0
2243,suddenly the daesh murderers of children pretend to care about children . but it is just propaganda .,1,0
2262,"wrong . mohammed was a liar , rapist , murderer , slave trader , caravan robber , sexist , biggot",1,0
2274,jews lived on 40 % of the arabian peninsula before the prophet mohammed started exterminating them .,1,0
2275,"the muslims conquered 2/3 of the christian world before it attacked back . so again , what are you crying about .",1,0
2292,bullshit . they are prisoners in their homes and in their country .,1,0
2293,"following the example of the pedophile prophet mohammed in every detail , one isis militant is marrying a 7 year old child in mosul . #islam",1,0
2304,nobody cares . the law protects women . mohammed is phony laws abuse women . #islam,1,0
2306,"with muslims attacking european jews and grooming european children , get rid of them .",1,0
2315,"first off , the cretins at salon are 100 % unaware that there is nothing that isis does that mohammed did not also do .",1,0
2317,take your stupid cult superstition and stick it up your behind .,1,0
2319,"no , islam declared war on all humanity 1400 years ago .",1,0
2330,saudi cleric believes earth does not revolve around sun . there must be 50 ways to return to the 7th century with #islam as your expert guide,1,0
2344,that old lie again . muslims repeat the same lie again and again . here is the truth about it http://t.co/a6zuxxs4ne,1,0
2350,if you want t plumb the depth of hamas virulent racism just read the quran where it is spelled out in black & white,1,0
2357,free them to do what ? cut off the heads of gays ? honor killings ? child marriage ? exterminate jews ? throw ppl off buildings ?,1,0
2363,rt : 12 - yr-old sold as #isis slave to a 50 - yr-old man said she did not know what rape meant - only that she woke up bleeding http : …,1,0
2370,but certainly exterminate all terrorist and jihadi groups .,1,0
2373,racist blacks have shot two police officers and a 5 year old in #ferguson .,1,0
2380,my opinions of islam do not come from the media . they come from the quran and hadiths .,1,0
2383,rt : #muslim #islam welcome to the hotel islamfornia . may check out any time but never leave . http://t.co/8vvkph55dh http://…,1,0
2385,liar . those hadith come from the usc muslim student association hadith web site . and here is more . http://t.co/v9w4t4izgk,1,0
2386,muslims always look to excuse the barbarity of islam by changing the subject .,1,0
2392,"it is not about any specific individuals , but about an ideaology that will always produce terrorists .",1,0
2399,there are no jews in saudi or many of the gulf states because the muslims exterminated them .,1,0
2402,both the muslim men and their religious texts abuse women . http://t.co/kflygptbqb,1,0
2404,"international press could not even tell where the shells came from . to hell with murdering islamists , including hamas .",1,0
2406,you are a muslim . you are brain dead . you repeat what others have said a million times .,1,0
2409,"yes , according to islam , muslims are encouraged to kill you . i'm not a muslim and i have no issues with hindus .",1,0
2414,"no more so than the muslims , who consider their birthright to be global domination .",1,0
2421,"as a certified inmate of the islamasylum , you do not have the ability to judge .",1,0
2441,"in what way is blumenthal jewish , other than by birth . answer the question .",1,0
2443,"mostly it shows how vile , inhuman , digusting , and barbaric that religion is . #islam",1,0
2451,i read the entire quran . islam is what is wrong .,1,0
2455,"no minorities of any kind are left in saudi and several other gulf states , having been exterminated by muslims .",1,0
2472,"iran where there is no human freedom and where they murder kurds , gays , apostates , political opponents .",1,0
2473,1400 years ago my ass . that was the beginning and it has never stopped . it is an ingrained part of islam .,1,0
2494,but no muslims stop any other muslims from carrying out their genocide . they only aid and applaud them .,1,0
2501,islam treats women like slaves and anyone who says otherwise is stabbing women in the back . http://t.co/pmfsv6sss9,1,0
2507,if you do not like hate then you will have to rewrite half of the quran .,1,0
2511,lol . look at you with a towel wrapped around your head . pretty freaky .,1,0
2534,one way of helping to prevent such crimes would be to outlaw the sick and sexist religion of islam that victimizes women .,1,0
2540,who is them ? i only see real beheadings in palestine and the rest of the muslim world .,1,0
2546,"no , the murdering hamaz head choppers torture children in dungeons .",1,0
2551,"yeah , i know . being a human being is against islam . islam must be outlawed .",1,0
2564,and no doubt your friend was every place where isis could have been murdering children .,1,0
2585,who cares . jews do not marry children . muslims do . all the time .,1,0
2597,"there is no such thing as islamophobia , just as there is no such thing as naziphobia .",1,0
2603,not nearly to the extent that they went insane over a mohammed cartoon .,1,0
